created_at,tweet_id,full_text,user_id,user_name,user_screen_name,is_retweet,retweeted_status_id,retweeted_status_text,is_quoted,is_politics
2019-12-06 02:39:06 AM,1202779467082543104,A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the displacement and deaths of millions of people in order to turn a profit.,216776631,Bernie Sanders,BernieSanders,False,,,False,True
2019-12-06 06:02:42 AM,1202830705245478918,RT @BernieSanders: A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the di…,745872428,Yuyiyo911,Yuyiyo911,True,1202779467082543104,A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the displacement and deaths of millions of people in order to turn a profit.,False,True
2019-12-06 11:02:37 AM,1618190,"attune
amenity
admirable
.",28260,sfPUSMnY,uUJlDkHqc3bhUg1,True,1202830685863432193,RT @BernieSanders: A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the di…,True,False
2019-12-06 08:02:37 AM,3374271,"beckon
blithe
audibly
.",93881,LcdGTo5W,OKMrZPbRoIcvuPZ,True,1202830685863432193,RT @BernieSanders: A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the di…,True,False
2019-12-06 07:02:37 AM,7437152,"blurry
autocrat
abysmal
.",42142,Vue1rR07,ALyQTQdiFUk8Hil,True,1202830685863432193,RT @BernieSanders: A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the di…,True,False
2019-12-06 10:02:37 AM,4926423,"bored
aggravate
bemused
.",62863,M6xrFzQf,pnj1RM5w4E6yUt5,True,1202830685863432193,RT @BernieSanders: A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the di…,True,False
2019-12-06 01:02:37 PM,7762034,"besmirch
butcher
burn
.",65514,f1n60ewx,rvZiRwHyAqnnaei,True,1202830685863432193,RT @BernieSanders: A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the di…,True,False
2019-12-06 08:02:37 AM,3685615,"burning
blurt
cataclysmal
.",62745,AXdZq4ki,R0HwWv9PvV45jZn,True,1202830685863432193,RT @BernieSanders: A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the di…,True,False
2019-12-06 01:02:37 PM,4743346,"anxiety
ail
coerce
.",10386,ZYnGjEQy,3tg9XmvyoTrw5SR,True,1202830685863432193,RT @BernieSanders: A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the di…,True,False
2019-12-06 07:02:37 AM,3674397,"awful
agonize
burning
.",67047,NJILoxyB,WfDmZ0gbeyD64w4,True,1202830685863432193,RT @BernieSanders: A Green New Deal is not radical or extreme. What's radical and extreme is allowing fossil fuel companies to cause the di…,True,False
